Tour_ID,City,Country,Region,Travel_Type,Tour_Type,Duration_Days,Season,Month,Tour_Price_INR,Travelers,Rating,Bookings,Hotel_Cost,Flight_Cost,Food_Cost,Activities_Cost,Local_Transport_Cost
247,Pune,India,West India,Domestic,Standard,12,Winter,7,39500,5,3.7,158,11719,11126,5481,6765,4409
248,Sydney,Australia,Oceania,International,Budget,7,Summer,1,82000,5,4.9,101,28799,17120,14704,10901,10476
249,Tokyo,Japan,Asia,International,Standard,12,Summer,5,196000,5,4.6,428,69160,60869,31580,34256,500
250,Rishikesh,India,North India,Domestic,Premium,4,Summer,4,19000,6,3.8,310,6741,5788,3289,1573,1609
251,Barcelona,Spain,Europe,International,Standard,9,Monsoon,3,90000,1,3.8,334,23556,21140,10575,11938,22791
252,Maldives,Maldives,Asia,International,Standard,7,Summer,6,106500,5,4.7,57,28670,32557,11856,9701,23716
253,Srinagar,India,North India,Domestic,Luxury,11,Winter,6,86500,4,4.3,109,23159,19343,15214,13769,15015
254,Leh,India,North India,Domestic,Standard,12,Summer,7,37000,5,3.9,414,12561,8106,5857,6470,4006
255,Dubai,UAE,Asia,International,Standard,11,Monsoon,10,133000,2,3.8,183,43028,45286,14796,20553,9337
256,Istanbul,Turkey,Europe,International,Budget,12,Monsoon,8,66500,6,3.2,217,18437,20214,8514,10553,8782
257,Mysore,India,South India,Domestic,Luxury,4,Autumn,8,35500,5,4.3,371,10495,9098,5903,5639,4365
258,Colombo,Sri Lanka,Asia,International,Standard,9,Winter,1,102500,4,3.5,58,29871,35131,10858,9943,16697
259,Bali,Indonesia,Asia,International,Premium,11,Autumn,12,191500,1,3.8,117,71337,43039,32781,18328,26015
260,Varanasi,India,North India,Domestic,Premium,12,Monsoon,5,46500,3,3.2,64,11925,13288,7774,4434,9079
261,Jaipur,India,North India,Domestic,Luxury,5,Winter,1,38000,4,4,478,12652,13169,5239,3478,3462
262,Mumbai,India,West India,Domestic,Budget,12,Autumn,3,19500,3,3.6,157,5841,4445,2019,2417,4778
263,Singapore,Singapore,Asia,International,Standard,12,Winter,2,196500,1,4.6,439,69769,51502,31541,20190,23498
264,Pune,India,West India,Domestic,Luxury,10,Autumn,10,89000,5,4.2,284,27760,18854,15327,13477,13582
265,Barcelona,Spain,Europe,International,Budget,9,Summer,3,71500,4,3.5,441,25389,15653,9571,12786,8101
266,Barcelona,Spain,Europe,International,Premium,7,Winter,2,126500,1,4.5,339,38159,31488,15445,15915,25493
267,Pune,India,West India,Domestic,Luxury,3,Autumn,3,22000,5,4.5,422,7181,6902,3853,3794,500
268,Jaipur,India,North India,Domestic,Premium,8,Monsoon,7,35000,5,4.2,375,11352,9483,3982,4210,5973
269,Agra,India,North India,Domestic,Budget,8,Monsoon,12,10500,3,3.7,451,3642,3550,1803,861,644
270,Gangtok,India,East India,Domestic,Budget,5,Summer,5,9000,6,3.4,246,2768,2914,1093,1095,1130
271,Kathmandu,Nepal,Asia,International,Luxury,9,Monsoon,1,231000,5,4.7,34,62523,56980,32465,21613,57419
272,Sydney,Australia,Oceania,International,Standard,5,Winter,4,79000,4,4.1,345,20269,20070,9158,9229,20274
273,New York,USA,North America,International,Budget,5,Monsoon,8,52000,2,4.6,152,14200,17189,7641,5978,6992
274,Bali,Indonesia,Asia,International,Premium,2,Autumn,1,36000,6,3.6,353,11678,12410,6068,5210,634
275,Varanasi,India,North India,Domestic,Budget,12,Winter,8,23000,3,4.4,383,7685,6673,2315,2420,3907
276,Delhi,India,North India,Domestic,Luxury,8,Monsoon,8,51500,1,3.2,359,15999,15531,8546,6165,5259
277,Srinagar,India,North India,Domestic,Premium,6,Winter,8,26500,6,4.8,353,10029,7846,4476,2812,1337
278,Udaipur,India,North India,Domestic,Standard,4,Summer,1,12000,6,3.2,274,4251,3480,1834,1776,659
279,Jaipur,India,North India,Domestic,Premium,8,Autumn,7,41500,6,3.6,293,13520,14492,6859,4744,1885
280,Darjeeling,India,East India,Domestic,Premium,10,Monsoon,3,45500,3,4.4,306,16559,10336,4905,4222,9478
281,Sydney,Australia,Oceania,International,Premium,12,Winter,4,322500,3,4.2,257,111826,79355,52582,36484,42253
282,New York,USA,North America,International,Luxury,2,Winter,8,108000,1,4.7,97,34026,35653,14097,11862,12362
283,Rome,Italy,Europe,International,Standard,7,Autumn,10,90500,1,4,343,34232,20044,15293,8872,12059
284,Sydney,Australia,Oceania,International,Premium,12,Winter,1,331000,1,3.4,242,91759,104606,48359,31724,54552
285,Kerala,India,South India,Domestic,Luxury,8,Autumn,7,56000,5,3.5,366,17885,17337,9856,9475,1447
286,Paris,France,Europe,International,Standard,5,Monsoon,5,65500,3,4.8,253,19640,18883,7425,10636,8916
287,Pune,India,West India,Domestic,Premium,8,Summer,6,42000,4,3.2,134,13176,13125,4754,7168,3777
288,Rome,Italy,Europe,International,Standard,2,Summer,2,21500,5,4.3,324,7193,4420,3657,2269,3961
289,Singapore,Singapore,Asia,International,Budget,12,Winter,1,125500,2,3.5,371,38174,32258,18044,15993,21031
290,Paris,France,Europe,International,Premium,8,Winter,11,217000,5,4.4,80,71819,66208,28970,36860,13143
291,Jaipur,India,North India,Domestic,Budget,3,Autumn,4,5000,4,3.7,40,1755,1623,889,578,500
292,Gangtok,India,East India,Domestic,Standard,9,Monsoon,4,19500,2,4.8,419,6577,6552,3252,2864,500
293,Andaman,India,East India,Domestic,Budget,3,Monsoon,11,4500,2,4.7,456,1703,1099,617,404,677
294,Jaipur,India,North India,Domestic,Premium,12,Monsoon,7,53500,6,4.3,188,14035,16784,5546,8838,8297
295,Leh,India,North India,Domestic,Luxury,11,Monsoon,12,78000,3,4.6,373,27763,17739,10300,13746,8452
296,Darjeeling,India,East India,Domestic,Luxury,12,Summer,2,83500,5,4,311,28760,28994,13990,7546,4210
297,Mysore,India,South India,Domestic,Standard,11,Autumn,6,33500,4,4.8,77,12131,11121,5299,5667,500
298,Varanasi,India,North India,Domestic,Luxury,2,Winter,5,17000,6,4.2,362,4277,5614,2413,2624,2072
299,Shimla,India,North India,Domestic,Budget,8,Summer,8,11000,5,3.3,349,3717,2835,1838,1494,1116
300,Istanbul,Turkey,Europe,International,Luxury,9,Summer,2,272500,5,4.3,226,79483,68025,33313,35613,56066
